ter;plot;label;ms;com;ind;sp;height;diameter;state;flower;;;;;
2;6;524;0;P;1;pistachia;19;4,37;;;;;;;
2;6;525;0;P;1;pistachia;21,9;2,72;;;;;;;
2;6;528;1;P;1;pistachia;17,5;2,39;;;;;;;
2;6;535;0;P;1;pistachia;29,8;4,44;1;;;;;;
2;6;536;1;P;1;pistachia;22,2;3,72;;;;;;;
2;6;537;1;A;1;anthyllis;37,5;2,78;;1;;;;;
2;6;538;0;A;1;anthyllis;13,1;2,75;;;;;;;
2;6;539;1;A;1;anthyllis;24,4;2,35;;;;;;;
2;6;540;0;A;1;anthyllis;13,4;2,53;;;;;;;
2;6;541;1;D;1;dorycnium;30,1;2,72;;;;;;;
2;6;542;0;M;1;anthyllis;15,2;2,02;;;;;;;
2;6;543;0;D;1;dorycnium;27,3;4,3;;;;;;;
2;6;544;1;D;1;dorycnium;23,3;1,47;;;;;;;
2;6;549;1;D;1;dorycnium;29;3,2;;;;;;;
2;6;550;0;D;1;dorycnium;28,2;2,18;;;;;;;
2;6;551;0;M;1;pistachia;26,2;3,01;;;;;;;
2;6;552;1;M;1;anthyllis;19,4;1,82;;;;;;;
2;6;555;1;A;1;anthyllis;22;3,13;;1;;;;;
2;6;556;0;A;1;anthyllis;14;2,47;;;;;;;
2;6;557;1;M;1;pistachia;19,8;2,81;;;;;;;
2;6;558;0;M;1;anthyllis;8,7;1,94;;;;;;;
2;6;559;1;A;1;anthyllis;13;1,48;;;;;;;
2;6;560;0;A;1;anthyllis;21,5;1,67;;1;;;;;
2;7;641;0;A;1;anthyllis;23,3;3,08;;;;;;;
2;7;642;1;A;1;anthyllis;25,3;3,03;;;;;;;
2;7;644;0;D;1;dorycnium;19,1;2,07;;;;;;;
2;7;646;1;D;1;dorycnium;26,1;1,79;;;;;;;
2;7;648;0;D;1;dorycnium;27;2,46;;;;;;;
2;7;649;1;D;1;dorycnium;30;2,77;;;;;;;
2;7;656;0;M;1;dorycnium;30,4;3,34;;;;;;;
2;7;657;1;M;1;anthyllis;18;2,33;;;;;;;
2;7;658;0;A;1;anthyllis;23;2,02;;1;;;;;
2;7;659;1;A;1;anthyllis;19,5;2,23;;;;;;;
2;7;660;1;M;1;anthyllis;23,3;1,39;;;;;;;
2;7;661;0;M;1;dorycnium;30,1;2,4;;;;;;;
2;7;662;1;M;1;pistachia;17,2;3,51;;;;;;;
2;7;663;0;M;1;pistachia;21;2,8;1;;;;;;
2;7;668;1;D;1;dorycnium;15,9;3,1;;;;;;;
2;7;669;0;D;1;dorycnium;26,1;2,3;;;;;;;
2;7;670;0;A;1;anthyllis;18,7;2,73;;;;;;;
2;7;671;1;A;1;anthyllis;17,6;2,02;;;;;;;
2;7;672;0;M;1;anthyllis;31,6;3,21;;;;;;;
2;7;673;1;M;1;anthyllis;22,6;2,25;;;;;;;
2;7;674;1;D;1;dorycnium;26,1;2,27;;;;;;;
2;7;675;0;D;1;dorycnium;25,2;2,15;;;;;;;
2;7;684;1;A;1;dorycnium;33,5;3,57;;;;;;;
2;7;685;0;A;1;dorycnium;21,9;2,23;;;;;;;
2;7;692;1;P;1;pistachia;20,7;2,81;;;;;;;
2;7;691;0;P;1;pistachia;26,7;4,53;1;;;;;;
2;7;694;1;D;1;dorycnium;28;2,31;;;;;;;
2;7;698;0;D;1;dorycnium;31,4;3,45;;;;;;;
2;7;700;0;P;1;pistachia;20,1;4,53;1;;;;;;
2;7;701;1;P;1;pistachia;26,7;3,65;2;;;;;;
2;7;722;0;P;1;pistachia;25,8;3,24;2;;;;;;
2;7;723;1;P;1;pistachia;18,6;2,26;1;;;;;;
2;8;401;0;P;1;pistachia;23,3;4;1;;;;;;
2;8;402;1;P;1;pistachia;20,9;3,47;;;;;;;
2;8;403;0;D;1;dorycnium;22,2;1,77;;;;;;;
2;8;405;1;D;1;dorycnium;32,4;2,63;;;;;;;
2;8;407;1;P;1;pistachia;24,9;3,37;;;;;;;
2;8;408;1;D;1;dorycnium;32,8;2,86;;;;;;;
2;8;409;1;D;1;dorycnium;29,3;3,17;;;;;;;
2;8;410;0;D;1;dorycnium;28,3;2,55;;;;;;;
2;8;412;0;D;1;dorycnium;24,9;2,02;;;;;;;
2;8;413;0;D;1;dorycnium;27,5;2,47;;;;;;;
2;8;414;1;D;1;dorycnium;27,1;3,25;;;;;;;
2;8;415;0;M;1;dorycnium;33,3;3,95;;;;;;;
2;8;416;1;M;1;dorycnium;30,8;2,29;;;;;;;
2;8;417;0;M;1;dorycnium;20,9;2,62;;;;;;;
2;8;418;1;M;1;pistachia;20,8;2,57;1;;;;;;
2;8;419;0;P;1;pistachia;27,4;3,3;;;;;;;
2;8;420;1;A;1;anthyllis;18;1,94;;;;;;;
2;8;421;0;A;1;anthyllis;34,6;2,65;;1;;;;;
2;8;424;0;A;1;anthyllis;26,9;3,43;;;;;;;
2;8;425;1;A;1;anthyllis;36,3;3,37;;;;;;;
2;8;427;0;A;1;anthyllis;21,8;3,04;;;;;;;
2;8;428;1;A;1;anthyllis;15;2,13;;;;;;;
2;8;429;0;M;1;dorycnium;17,4;1,84;;;;;;;
2;8;430;1;M;1;dorycnium;29,3;2,19;;;;;;;
2;8;431;0;A;1;anthyllis;15,7;2,25;;;;;;;
2;8;432;0;M;1;pistachia;19,3;4,06;1;;;;;;
2;8;433;1;M;1;anthyllis;20;2,42;;;;;;;
2;8;434;1;A;1;anthyllis;19,3;1,75;;1;;;;;
2;8;435;0;D;1;dorycnium;26,8;2,31;;;;;;;
2;8;436;1;D;1;dorycnium;26,8;2,77;;;;;;;
2;8;437;0;P;1;pistachia;25,1;3,14;2;;;;;;
2;8;438;1;P;1;pistachia;25;3,2;;;;;;;
2;8;443;0;M;1;pistachia;19,3;2,66;1;;;;;;
2;8;444;0;P;1;pistachia;28;3,98;1;;;;;;
2;8;445;1;P;1;pistachia;21,4;3,24;;;;;;;
2;8;446;1;M;1;dorycnium;29,3;1,97;;;;;;;
2;8;449;0;D;1;dorycnium;25,5;2,92;;;;;;;
2;8;450;1;D;1;dorycnium;30,9;2,62;;;;;;;
2;8;451;0;A;1;anthyllis;17,8;2,03;;;;;;;
2;8;452;1;A;1;anthyllis;28,4;2,6;;;;;;;
2;8;453;0;D;1;dorycnium;22,5;2,58;;;;;;;
2;8;454;1;D;1;dorycnium;17,6;1,86;;;;;;;
2;8;457;0;P;1;pistachia;23,5;2,99;;;;;;;
2;8;458;1;P;1;pistachia;9,5;2,82;;;;;;;
2;8;459;1;P;1;pistachia;19,5;2,79;;;;;;;
2;8;460;0;P;1;pistachia;19,9;2,2;2;;;;;;
2;8;461;1;A;1;anthyllis;22,7;2,54;;;;;;;
2;8;462;0;A;1;anthyllis;16,6;1,78;;;;;;;
2;8;463;0;P;1;pistachia;22,5;3,06;1;;;;;;
2;8;464;1;P;1;pistachia;23,4;3,46;;;;;;;
2;8;465;0;M;1;pistachia;;;3;;;;;;
2;8;466;1;M;1;dorycnium;31,5;3,08;;;;;;;
2;8;467;1;M;1;dorycnium;27,6;4,2;;;;;;;
