label;microsite;treatment;P dead;P almost dead;A dead;A almost dead;T dead;T almost dead
1243;p;T;0;0;0;0;0;0
1239;o;A;0;0;1;2;0;0
1240;p;A;0;0;0;0;0;0
1206;p;T;0;0;0;0;0;0
1225;o;T;0;0;0;0;0;0
1233;o;T;0;0;0;0;0;0
1237;p;T;0;0;0;0;0;0
1238;p;M;0;1;0;0;0;0
1238;o;M;1;0;0;0;0;0
1235;o;T;0;0;0;0;1;0
1224;p;T;0;0;0;0;0;0
1232;o;A;0;0;0;0;0;0
1231;p;A;0;0;0;0;0;0
1230;p;M;0;0;0;0;0;0
1223;o;M;0;1;0;0;0;0
1220;p;M;0;0;0;0;0;0
1229;o;M;0;0;0;0;0;0
1228;p;M;0;0;0;0;0;0
1227;o;M;0;1;0;0;0;0
1216;o;A;0;0;0;0;0;0
1215;p;A;0;0;0;0;0;0
1000;o;T;0;0;0;0;0;0
1226;p;T;0;0;0;0;0;0
1215;p;M;0;0;0;0;0;0
199;o;M;0;0;0;0;0;0
1211;p;T;0;0;0;0;0;0
1205;o;T;0;0;0;0;0;0
1212;o;T;0;0;0;0;0;0
1210;p;T;0;0;0;0;0;0
1209;o;P;0;0;0;0;0;0
879;p;P;0;0;0;0;0;0
1205;o;M;0;0;0;0;0;0
1204;p;M;0;1;0;0;0;0
200;p;T;0;0;0;0;0;0
198;o;T;0;0;0;0;0;0
1202;p;A;0;0;0;0;0;0
1201;o;A;0;0;0;0;0;0
196;o;A;0;0;0;0;0;0
193;p;A;0;0;0;0;0;0
1269;o;M;0;0;0;0;0;0
1251;p;M;0;1;1;0;1;0
1252;p;T;0;0;0;0;0;0
1276;o;T;0;0;0;0;0;0
1328;o;P;3;0;0;0;0;0
1266;p;P;2;0;0;0;0;0
1265;p;T;0;0;0;0;3;0
1264;p;T;0;0;0;0;3;0
1267;p;P;0;0;0;0;1;0
1291;o;P;2;0;0;0;0;0
1270;p;P;0;0;0;0;0;0
1271;o;P;0;1;0;0;0;0
1277;o;M;0;0;0;0;1;0
1278;p;M;0;0;0;0;1;0
1280;p;A;1;0;0;0;0;0
1279;o;A;0;0;0;0;0;0
1281;o;A;0;0;0;0;0;0
1282;p;A;0;0;0;0;0;0
1283;p;A;0;0;0;0;0;0
1288;o;A;0;0;0;0;0;0
1284;o;M;0;0;0;0;0;0
1285;p;M;0;0;1;0;0;0
1286;p;A;0;0;0;0;0;0
1287;o;A;0;0;0;0;0;0
1289;o;M;0;1;0;0;0;0
1290;p;M;0;0;0;0;1;0
1268;p;A;0;0;0;0;0;0
1273;o;A;0;0;0;0;0;0
1274;o;A;0;0;0;0;0;0
1275;p;A;0;0;0;0;0;0
1262;p;M;1;0;0;0;1;0
1263;o;M;1;0;0;0;0;0
1257;o;P;3;0;0;0;0;0
1256;p;P;1;0;0;0;0;0
1255;o;P;3;0;0;0;0;0
1258;p;P;3;0;0;0;0;0
1261;p;M;1;0;0;0;0;0
