ter;plot;label;ms;com;watering;sp1;sp2;sp3;h1;h2;h3;d1;d2;d3;hm1;hm2;hm3;e1;e2;e3
2;5;629;1;D;0;dorycnium;dorycnium;dorycnium;D;28,5;23;3,48;3,94;3,1;D;31;23;;;
2;5;630;1;D;0;dorycnium;dorycnium;dorycnium;D;D;D;3,03;2,16;1,79;D;D;D;;;
2;5;631;0;D;0;dorycnium;dorycnium;dorycnium;23;29,5;17,5;3,12;2,73;2,02;24;29,5;26;;;
2;5;632;1;A;1;anthyllis;anthyllis;anthyllis;23;21,5;14,5;2,22;2,87;2,45;26;31,7;17,2;;;
2;5;633;0;A;1;anthyllis;anthyllis;anthyllis;20;35;24,5;3,28;3,77;2,63;18,5;36;24,5;;;
2;5;634;0;A;0;anthyllis;anthyllis;anthyllis;24;31;24,5;1,96;3,49;3,24;26,2;30,5;28;;;
2;5;635;1;A;1;anthyllis;anthyllis;anthyllis;16;30,5;19;2,6;2,89;2,22;28;30;22,7;;;
2;5;636;0;D;1;dorycnium;dorycnium;dorycnium;D;26;31;2,83;1,93;2,94;D;32;34;;;
2;5;637;1;D;0;dorycnium;dorycnium;dorycnium;27;D;39,2;2,51;2,15;2,88;31;D;39,6;;;
2;5;638;1;P;1;pistachia;pistachia;pistachia;19;29,5;25;3;5,71;3,53;19;29,5;26,5;;;
2;6;482;1;D;1;dorycnium;dorycnium;dorycnium;43,5;D;43;3,62;1,73;2,94;46,5;D;45,5;;;
2;6;483;0;D;0;dorycnium;dorycnium;dorycnium;D;34;32,5;3,23;2,77;3,94;D;39,5;33;;;
2;6;484;1;M;1;pistachia;dorycnium;anthyllis;D;D;D;3,26;2,26;1,12;D;D;D;;;
2;6;485;1;A;0;anthyllis;anthyllis;anthyllis;26;20,5;16;3,77;2,38;2,43;28;22;16;;;
2;6;486;0;M;0;dorycnium;anthyllis;pistachia;D;16;D;2,53;2,68;4,5;D;16;D;;;
2;6;488;1;A;1;anthyllis;anthyllis;anthyllis;21;25,5;20;3,07;2,61;2,41;25,5;26;21,5;;;
2;6;489;0;A;1;anthyllis;anthyllis;anthyllis;25;42,2;20,5;3,12;3,58;3,46;44,5;42;21;;;
2;6;490;0;D;1;dorycnium;dorycnium;dorycnium;27;25,5;31;2,62;2,72;2,72;32,5;35;32;;;
2;6;491;1;D;0;dorycnium;dorycnium;dorycnium;D;24;24,5;2,04;1,67;2,01;D;24,5;25;;;
2;6;494;0;A;1;anthyllis;anthyllis;anthyllis;17,5;26;25;2,42;3,03;4,37;19;27,5;21,5;;;
2;6;495;1;A;0;anthyllis;anthyllis;anthyllis;25;18;19,5;3,18;2,4;3,29;26;21;26,5;;;
2;6;502;1;P;0;pistachia;pistachia;pistachia;D;D;D;4,89;3,46;3,33;D;D;D;;;
2;6;503;0;P;0;pistachia;pistachia;pistachia;D;D;D;3,7;2,95;4,58;D;D;D;;;
2;6;504;1;P;1;pistachia;pistachia;pistachia;D;D;D;4,14;3,46;3,79;D;D;D;;;
2;6;505;0;P;1;pistachia;pistachia;pistachia;22;25;D;3,68;4,69;3,67;24;25;D;;;
2;6;506;1;D;1;dorycnium;dorycnium;dorycnium;D;32,5;31,5;2,32;4,49;2,91;D;35;32;;;
2;6;507;1;D;1;dorycnium;dorycnium;dorycnium;33;34;26;2,85;2,89;2,64;34,5;35;28;;;
2;6;508;0;D;1;dorycnium;dorycnium;dorycnium;D;26;D;2,42;2,13;2,82;D;27;D;;;
2;6;509;0;M;1;pistachia;anthyllis;dorycnium;26;26,5;32,5;3,57;3,18;2,79;25,5;27;34;;;
2;6;510;1;M;0;anthyllis;dorycnium;pistachia;D;30,5;21,5;1,31;2,85;3,73;D;31,5;24;;;
2;6;511;0;M;0;dorycnium;anthyllis;pistachia;35,5;29,5;18,5;3,49;4,16;3,66;38;30,5;23;;;
2;6;512;1;M;0;anthyllis;dorycnium;pistachia;22;30;25,5;2,7;3,33;2,84;27;30,5;29,5;;;
2;6;514;1;D;1;dorycnium;dorycnium;dorycnium;34,5;33,5;29;2,06;2,58;2,38;35,5;39;32,5;;;
2;6;515;0;D;1;dorycnium;dorycnium;dorycnium;38;40;33;4;4,29;3,46;39,5;42;33,5;;;
2;6;516;1;P;1;pistachia;pistachia;pistachia;23,5;25,5;24,5;3,58;4,93;4,22;25;27;29;;;
2;6;518;0;A;0;anthyllis;anthyllis;anthyllis;32,5;33,5;33;3,55;3,21;2,67;31;33;32;;;
2;6;519;1;M;0;anthyllis;dorycnium;pistachia;35,5;31;22;3,67;3,22;2,9;35;33;22;;;
2;6;520;0;D;1;dorycnium;dorycnium;dorycnium;25;35;28,5;3,59;3,02;3,57;27,5;34,5;33;;;
2;6;521;1;P;1;pistachia;pistachia;pistachia;22;D;18,5;3,35;4,71;3,75;23;D;17,5;;;
2;6;522;0;P;0;pistachia;pistachia;pistachia;D;D;D;4,2;4,14;4,26;D;D;D;;;
2;6;523;1;P;0;pistachia;pistachia;pistachia;D;D;D;3,34;4,57;3,42;D;D;D;;;
2;6;524;0;P;1;pistachia;pistachia;pistachia;19,5;30;22;4,83;4,47;3,37;21;31;21,5;;;
2;6;525;0;P;1;pistachia;pistachia;pistachia;20;27;25,5;3,45;4,32;4,8;22,5;27,5;27,5;;;
2;6;528;1;P;1;pistachia;pistachia;pistachia;19,5;27,5;24,5;2,99;3,99;4,42;20;28;24;;;
2;6;535;0;P;1;pistachia;pistachia;pistachia;27;20;21;4,93;5,22;4,06;32;23;24,5;;;
2;6;536;1;P;0;pistachia;pistachia;pistachia;D;D;D;3,61;3,97;3,7;D;D;D;;;
2;6;537;1;A;0;anthyllis;anthyllis;anthyllis;32;18;14,5;3,92;2,75;2,72;33;19,5;14,5;;;
2;6;538;0;A;1;anthyllis;anthyllis;anthyllis;24;25,5;23,5;3,92;2,75;2,91;26,05;31;23,5;;;
2;6;539;1;A;0;anthyllis;anthyllis;anthyllis;32;16;28;3,73;2,15;2,29;29;20;27,5;;;
2;6;540;0;A;0;anthyllis;anthyllis;anthyllis;21;30;19;2,8;4,95;4,46;21,5;29,5;19;;;
2;6;541;1;D;1;dorycnium;dorycnium;dorycnium;36;25,5;44;3,35;2,9;3,89;42;31;44;;;
2;6;542;0;M;1;anthyllis;dorycnium;pistachia;22;12;40,5;2,64;2,27;3,24;23;14;42;;;
2;6;543;0;D;1;dorycnium;dorycnium;dorycnium;32;30,5;D;3,51;4,6;1,84;33;32,5;D;;;
2;6;544;1;D;1;dorycnium;dorycnium;dorycnium;24,5;23,5;D;2,55;2,12;4,79;22,5;23;D;;;
2;6;549;1;D;1;dorycnium;dorycnium;dorycnium;37,5;16,5;34,5;4,33;2,14;3,04;37;16,5;38;;;
2;6;550;0;D;1;dorycnium;dorycnium;dorycnium;30;32,5;27;1,95;2,39;1,66;37;36,5;28,5;;;
2;6;551;0;M;0;pistachia;dorycnium;anthyllis;D;31;D;3,01;3,01;2,68;D;34;D;;;
2;6;552;1;M;1;anthyllis;dorycnium;pistachia;22,5;23;16;1,91;2,62;2,49;19;21,5;16;;;
2;6;555;1;A;1;anthyllis;anthyllis;anthyllis;28;15;19;2,77;2,89;3,06;31;17;19,5;;;
2;6;556;0;A;0;anthyllis;anthyllis;anthyllis;15,5;22;D;2,65;2,91;1,9;15,5;23;D;;;
2;6;557;1;M;1;pistachia;anthyllis;dorycnium;22;D;D;2,94;2,27;3,13;21;D;D;;;
2;6;558;0;M;0;anthyllis;pistachia;dorycnium;18;D;30;2,66;3,79;2,83;18,5;D;34;;;
2;6;559;1;A;0;anthyllis;anthyllis;anthyllis;15,5;26,5;19;1,78;2,58;3,05;15,5;27;19;;;
2;6;560;0;A;0;anthyllis;anthyllis;anthyllis;18;25;19;1,78;2,75;2,96;22,5;24;19,5;;;
2;7;641;0;A;1;anthyllis;anthyllis;anthyllis;22;17,5;12;4,94;3,2;1,64;22,5;17;12;;;
2;7;642;1;A;0;anthyllis;anthyllis;anthyllis;26,5;17,5;14,5;3,13;2,08;4,48;25,5;18;15;;;
2;7;644;0;D;1;dorycnium;dorycnium;dorycnium;19,5;29;26;2,04;2,75;2,43;17;31;22,5;;;
