ter	plot	label	ms	com	watering	sp1	sp2	sp3	h1	h2	h3	d1	d2	d3	fresh_mass1	fresh_mass2	fresh_mass3	fresh_m_f1	fresh_m_f2	fresh_m_f3
3	9	928	0	P	1	pistachia	pistachia	pistachia	22,2	23,3	18,1	3,17	2,89	2,69	0,555	0,427	0,502	0,468	0,331	0,419
3	9	929	1	P	1	pistachia	pistachia	pistachia	21,5	19,3	26,4	2,9	3,3	3,32						
3	9	930	1	P	0	pistachia	pistachia	pistachia	25,1	14,5	17,5	3,5	2,91	3,21	0,708	0,786		0,567	0,654	
3	9	931	0	P	1	pistachia	pistachia	pistachia	14,5	25,5	31	2,64	2,48	4,94						
3	9	932	1	D	0	dorycnium	dorycnium	dorycnium	35	29	34	2,28	1,98	2,71			0,022			
3	9	933	0	D	0	dorycnium	dorycnium	dorycnium	34,5	33	27	3,64	2	2,45						
3	9	934	0	D	1	dorycnium	dorycnium	dorycnium	32,7	25,3	15,5	4,78	2,02	1,4	0,032					
3	9	935	1	D	0	dorycnium	dorycnium	dorycnium	26,5	37,5	36,7	2,32	2,34	2,25						
3	9	936	0	P	0	pistachia	pistachia	pistachia	21,7	22	25,9	3,62	3,61	4,88						
3	9	937	1	P	0	pistachia	pistachia	pistachia	27,5	27,4	23,5	4,92	3,2	4,34		0,617	0,51		0,485	0,414
3	9	938	0	M	0	dorycnium	pistachia	anthyllis	31,5	27,8	14	3,49	4,46	1,92						
3	9	939	1	M	0	pistachia	dorycnium	anthyllis	19,6	37	31	3,04	4,1	3,18						
3	9	941	0	A	1	anthyllis	anthyllis	anthyllis	24,5	25	14,5	2,18	2,14	1,88	0,099	0,075	0,211	0,093	0,066	0,189
3	9	942	1	A	0	anthyllis	anthyllis	anthyllis	11	14	22,5	1,56	2,32	1,93						
3	9	943	0	P	0	pistachia	pistachia	pistachia	30,2	14,7	16,4	5,05	3,95	3,01						
3	9	944	1	P	0	pistachia	pistachia	pistachia	10,1	10,5	9	3,3	3,82	2,57	0,984	0,787	0,343	0,837	0,642	0,298
3	9	947	1	D	1	dorycnium	dorycnium	dorycnium	32	28,5	32,5	2,47	2,18	3,33						
3	9	948	0	D	1	dorycnium	dorycnium	dorycnium	35,7	39,8	35,4	2,5	3,16	2,63						
3	9	952	0	A	1	anthyllis	anthyllis	anthyllis	10,5	14,2	24,3	2,53	1,72	2,13						
3	9	956	1	M	1	anthyllis	pistachia	dorycnium	19,6	20,9	34	2,55	3,65	2,1	0,125	0,796	0,078	0,114	0,691	
3	9	957	0	M	0	dorycnium	pistachia	anthyllis	29,2	21,2	29,4	1,85	2,75	2,81		0,365			0,267	
3	9	958	0	M	1	pistachia	dorycnium	anthyllis	26	28,5	18,5	2,86	2,19	2,8						
3	9	959	1	M	1	dorycnium	anthyllis	pistachia	40	20,9	33,8	2,83	2,9	4,18		0,062	0,924		0,058	0,792
3	10	1103	0	A	0	anthyllis	anthyllis	anthyllis	28,3	11,7	14,3	2,18	2,2	1,27						
3	10	1010	1	A	0	anthyllis	anthyllis	anthyllis	21,5	15,3	19,5	2,1	2,62	2,32						
3	10	1114	1	A	1	anthyllis	anthyllis	anthyllis	23,4	22,7	30,6	2,48	2,97	1,93						
3	10	1117	1	D	0	dorycnium	dorycnium	dorycnium	31,7	35,1	24,6	2,49	3,43	2,83						
3	10	1118	0	D	0	dorycnium	dorycnium	dorycnium	27,8	28	25,2	3,05	2,45	2,54						
3	10	1120	0	P	0	pistachia	pistachia	pistachia	14,7	23	17,5	1,91	3,79	3,41						
3	10	1121	1	P	1	pistachia	pistachia	pistachia	27,5	27	19,2	3,49	3,52	2,8						
3	10	1131	0	P	1	pistachia	pistachia	pistachia	26,3	9,3	17	3,8	2,37	3,51						
3	10	1077	1	P	1	pistachia	pistachia	pistachia	25,6	21,2	9,4	3,5	3,28	2,27						
3	10	1134	0	P	0	pistachia	pistachia	pistachia	30	19	30	3,71	3,2	4,01						
3	10	1135	1	P	0	pistachia	pistachia	pistachia	28,4	28,5	30,5	3,02	3,41	4,44						
3	10	1137	0	M	1	pistachia	anthyllis	dorycnium	28,7	19,8	25,3	4,32	2,56	2,82						
3	10	1138	1	M	0	pistachia	dorycnium	anthyllis	26,3	36	17,8	3,76	2,14	2,21						
3	10	1139	0	M	1	pistachia	anthyllis	dorycnium	30,6	22,8	29	4,63	1,93	2,35						
3	10	1124	1	M	1	dorycnium	pistachia	anthyllis	40,2	27,3	20,8	3,01	2,98	1,72						
3	10	1143	0	P	1	pistachia	pistachia	pistachia	18,8	21,4	23,6	3,2	3,16	3,26						
3	10	1144	1	P	0	pistachia	pistachia	pistachia	19,7	19,9	18,2	3,26	3,42	3,01						
3	10	1145	1	D	0	dorycnium	dorycnium	dorycnium	31	30,7	31	2,23	3,26	3,11						
3	10	1146	0	D	0	dorycnium	dorycnium	dorycnium	26,4	28,5	29,6	1,74	1,5	3,55						
3	10	1148	1	M	0	anthyllis	dorycnium	pistachia	22,5	31	18	2,1	1,84	2,47						
3	10	1149	0	M	1	pistachia	dorycnium	anthyllis	23,7	30,8	17,5	3,42	3,03	2,39						
3	10	1051	0	A	1	anthyllis	anthyllis	anthyllis	18,2	19,7	17	2,48	2,4	2,34						
3	10	1052	1	A	1	anthyllis	anthyllis	anthyllis	17,1	20,4	19	2,1	1,7	2,18						
3	10	1059	1	D	1	dorycnium	dorycnium	dorycnium	38,8	36,6	33,5	2,9	2,12	2,34						
3	10	1060	0	D	0	dorycnium	dorycnium	dorycnium	29,5	34,5	31,7	2,75	3,04	2,64						
3	10	1064	1	M	1	pistachia	dorycnium	anthyllis	22,4	27,7	18,5	3,22	2,11	1,71						
3	10	1065	0	M	0	anthyllis	pistachia	dorycnium	19,1	19,8	24,5	2,19	2,04	2,28						
3	10	1067	0	D	0	dorycnium	dorycnium	dorycnium	28	16,4	30,6	2,03	2,03	2,01						
3	10	1068	1	D	0	dorycnium	dorycnium	dorycnium	23	27,6	20,2	1,64	2,37	1,45						
3	10	1071	1	P	1	pistachia	pistachia	pistachia	25	21,2	10,4	4,05	3,92	2,91						
3	10	1072	0	P	1	pistachia	pistachia	pistachia	30,6	22,5	24,4	3,89	3,23	3,11						
3	11	1022	0	M	0	dorycnium	anthyllis	pistachia	26,5	24,5	35,9	2,3	1,92	4,33						
3	11	1023	1	M	0	anthyllis	pistachia	dorycnium	21	31,2	27,3	2,91	3,09	1,9						
3	11	1026	0	P	0	pistachia	pistachia	pistachia	34,6	27,5	32,5	3,32	1,84	4,34						
3	11	1027	1	P	0	pistachia	pistachia	pistachia	29,4	24,2	22,5	3,8	3,04	3,13	0,617	0,447	0,68	0,519	0,349	0,59
3	11	1029	1	D	1	dorycnium	dorycnium	dorycnium	34,2	34,9	40,1	3,45	1,9	4,42	0,039	0,042	0,095			
3	11	1030	0	D	0	dorycnium	dorycnium	dorycnium	27,7	36,6	34	2,04	2,5	3,24	0,042	0,037	0,03			
3	11	1031	0	P	0	pistachia	pistachia	pistachia	11,6	19,4	14,6	2,57	3,01	3,07						
3	11	1032	1	P	0	pistachia	pistachia	pistachia	22,4	17,7	23,6	3,72	2,54	3,44						
3	11	1033	0	D	1	dorycnium	dorycnium	dorycnium	21,6	27,8	32,6	2,69	3,19	3,01						
3	11	1034	1	D	0	dorycnium	dorycnium	dorycnium	29	34,3	40,1	1,84	1,48	2,33						
3	11	1035	0	D	0	dorycnium	dorycnium	dorycnium	36	40,5	33,9	2,74	3,25	2,54						
3	11	1037	0	P	0	pistachia	pistachia	pistachia	38	28,2	37	4,41	3,11	3,59	0,607	0,506	0,625	0,513	0,43	0,531
3	11	1038	1	D	1	dorycnium	dorycnium	dorycnium	35	20,9	34,5	1,99	2,03	3,95	0,05		0,04			
3	11	1039	1	P	1	pistachia	pistachia	pistachia	38,3	29,5	39,3	4,53	3,4	3,87	1,088	0,744	1,044	0,921	0,633	0,896
3	11	1040	0	M	1	dorycnium	anthyllis	pistachia	29,4	13	18,4	1,13	1,69	3,04						
3	11	1041	0	P	0	pistachia	pistachia	pistachia	31,8	15,8	24,4	4,23	2,72	3,92	1,585	1,921		1,347	1,601	
3	11	1042	1	P	1	pistachia	pistachia	pistachia	19,5	29,7	17,5	3,78	4,67	3,58						
3	11	1043	0	M	1	pistachia	dorycnium	anthyllis	32,9	30,6	20	4,91	2,89	2,19						
3	11	1044	1	M	0	pistachia	anthyllis	dorycnium	32,4	17,6	32,2	4,03	1,89	2,96						
3	11	1045	1	D	0	dorycnium	dorycnium	dorycnium	31,3	21,3	25,5	3,51	2,14	2,4						
3	11	1046	0	D	0	dorycnium	dorycnium	dorycnium	27,1	27,6	16	2,76	1,96	3,04						
3	11	1047	0	P	0	pistachia	pistachia	pistachia	28,2	17,5	24,5	4,52	3,37	4,1						
3	11	1048	1	P	0	pistachia	pistachia	pistachia	25	22	23,4	3,47	3,57	4,23						
3	11	1049	0	A	0	anthyllis	anthyllis	anthyllis	18,6	18,1	21,1	3	2,63	2,65			0,145			0,135
3	11	1050	0	A	0	anthyllis	anthyllis	anthyllis	25,5	19,5	23,7	2,38	2,36	2,33		0,096	0,116		0,089	0,102
3	11	1151	1	A	1	anthyllis	anthyllis	anthyllis	22	27,8	20,5	2,37	2,34	1,81						
3	11	1152	1	M	0	dorycnium	pistachia	anthyllis	24,1	16,7	20,2	3,28	2,82	1,53	0,065	0,777	0,134		0,642	0,123
3	11	1153	0	M	0	anthyllis	pistachia	dorycnium	27	19,7	10	2,72	2,84	2,01	0,136			0,128		
3	11	1154	1	M	0	anthyllis	dorycnium	pistachia	26,5	35,3	43,3	2,51	2,56	2,88	0,096	0,041	1,141	0,093		0,969
3	11	1155	0	M	0	anthyllis	pistachia	dorycnium	21,4	18,7	26	2,42	2,66	2,77						
3	11	1080	1	M	0	dorycnium	pistachia	anthyllis	28,4	38,5	14,3	2,13	3,23	2,1						
3	11	1156	0	A	1	anthyllis	anthyllis	anthyllis	35	30,2	17,8	2,05	2,88	2,18						
3	11	1081	1	A	0	anthyllis	anthyllis	anthyllis	19	19,2	17,8	2,64	2,2	2,91						
3	11	1084	0	A	0	anthyllis	anthyllis	anthyllis	18,8	18,4	21,3	2,18	2,34	3,39			0,15			0,137
3	11	1088	1	D	1	dorycnium	dorycnium	dorycnium	31,2	31,2	30,8	2,16	2,61	3,17	0,046	0,088	0,052			
3	11	1089	0	D	0	dorycnium	dorycnium	dorycnium	28,5	23	33,5	2,55	2,06	3,07	0,034		0,036			
3	11	1092	1	D	0	dorycnium	dorycnium	dorycnium	20	31	28,2	2,02	2,32	2,38						
3	11	1093	0	D	0	dorycnium	dorycnium	dorycnium	33,9	23,5	37,7	1,83	1,4	2,91						
3	11	1094	0	P	1	pistachia	pistachia	pistachia	30,5	24	32,4	3,82	4,04	3,97						
3	11	1159	0	A	0	anthyllis	anthyllis	anthyllis	20	17,2	19	2,32	1,17	2,16						
3	11	1095	1	A	0	anthyllis	anthyllis	anthyllis	22,5	24,8	21,5	2,36	1,94	1,46	0,098	0,094	0,108	0,086	0,082	0,091
3	11	1096	1	A	1	anthyllis	anthyllis	anthyllis	13,7	16,4	15,3	1,26	1,81	1,47	0,124	0,11	0,1	0,117	0,101	0,09
3	11	1099	1	P	0	pistachia	pistachia	pistachia	34,7	16	21,2	3,86	2,33	2,36						
3	11	1100	0	P	0	pistachia	pistachia	pistachia	17,5	17,4	16,5	2,76	2,38	2,33						
3	11	1001	0	D	0	dorycnium	dorycnium	dorycnium	30,5	27,6	29,5	3,36	1,9	3,94						
3	11	1002	1	D	1	dorycnium	dorycnium	dorycnium	31,6	29	27,5	2,05	2,56	2,54						
3	11	1003	1	P	1	pistachia	pistachia	pistachia	27	29,5	26,5	3,9	4,16	2,89	0,566		0,293	0,483		0,23
3	11	1004	0	P	0	pistachia	pistachia	pistachia	33,5	33	26,2	4,04	5,49	3,56						
3	11	1005	1	D	1	dorycnium	dorycnium	dorycnium	28,5	30,1	24,2	3,02	2,43	1,14						
3	11	1006	1	A	1	anthyllis	anthyllis	anthyllis	20,2	21,5	19,3	1,74	2,41	2,01						
3	11	1007	0	A	1	anthyllis	anthyllis	anthyllis	18,5	29	20,2	1,57	1,96	1,76						
3	11	1009	0	D	1	dorycnium	dorycnium	dorycnium	24,5	28,9	28,7	2,25	3,04	2,51	0,081	0,041	0,045			
3	11	1012	0	M	0	pistachia	dorycnium	anthyllis	37,3	33	28,4	4,18	2,33	2,55						
3	11	1013	1	M	0	pistachia	dorycnium	anthyllis	28,4	31,5	17,9	2,55	2,68	1,6	0,515			0,407		
3	11	1014	0	M	0	dorycnium	anthyllis	pistachia	32	34	20,4	2,71	1,98	2,74			0,624			0,509
3	11	1015	1	M	0	dorycnium	anthyllis	pistachia	30,8	33,2	29,1	3	3,86	1,75		0,176	0,723		0,163	0,577
3	11	1018	1	P	0	pistachia	pistachia	pistachia	27,2	19	21,6	3,43	3,71	3,2						
3	11	1019	1	D	0	dorycnium	dorycnium	dorycnium	31,4	36,2	29	1,83	2,67	2,48		0,027	0,045			
3	11	1021	0	D	1	dorycnium	dorycnium	dorycnium	35,5	36	28,7	3,11	2,92	2,71						
3	12	801	0	M	1	pistachia	anthyllis	dorycnium	25,1	20,4	23,8	2,83	2,37	1,98						
3	12	802	1	M	0	dorycnium	pistachia	anthyllis	18,5	24,8	37,8	3,81	3,94	3,04						
3	12	804	0	M	0	anthyllis	pistachia	dorycnium	34,5	23	18,5	2,23	3,38	1,56						
3	12	805	1	A	0	anthyllis	anthyllis	anthyllis	14,7	15	28,7	3,34	1,01	1,55						
3	12	806	1	M	0	dorycnium	pistachia	anthyllis	32	17,6	17	3,85	2,42	1,52						
3	12	809	0	M	0	anthyllis	pistachia	dorycnium	20,5	26	32	1,76	3,48	2,68						
3	12	810	1	D	0	dorycnium	dorycnium	dorycnium	20,4	27,3	25,5	2,7	1,53	1,94						
3	12	811	0	D	0	dorycnium	dorycnium	dorycnium	25,8	25,2	23,1	1,8	1,8	3,13						
3	12	814	0	P	0	pistachia	pistachia	pistachia	20,2	25,7	35,7	3,47	4,01	4,07						
3	12	815	1	P	1	pistachia	pistachia	pistachia	24,7	22,2	28,2	5,59	4,43	4,63						
3	12	816	0	D	1	dorycnium	dorycnium	dorycnium	38,8	35,2	32,7	3,01	2,35	2,48						
3	12	817	1	D	1	dorycnium	dorycnium	dorycnium	35,5	29,1	32,3	2,89	3,75	3,88						
3	12	818	0	M	1	anthyllis	dorycnium	pistachia	15	30,1	19,5	1,39	3,32	2,6						
3	12	821	1	D	0	dorycnium	dorycnium	dorycnium	28,8	30,7	29,3	3,41	2,74	2,63						
3	12	822	0	A	1	anthyllis	anthyllis	anthyllis	17,1	20,2	14,5	1,5	1,57	1,65						
3	12	823	0	D	0	dorycnium	dorycnium	dorycnium	26,5	27,5	31,5	4,66	4,05	3,76						
3	12	824	1	P	0	pistachia	pistachia	pistachia	20,5	21,3	18,8	4,03	2,87	3,28						
3	12	825	0	P	0	pistachia	pistachia	pistachia	18,5	17,7	13,5	2,91	2,35	2,28						
3	12	834	0	M	1	pistachia	dorycnium	anthyllis	12,5	24,2	19,9	3,64	2,49	1,38						
3	12	835	1	M	1	anthyllis	dorycnium	pistachia	22	34,4	17,5	1,84	2,26	2,52						
3	12	836	0	P	0	pistachia	pistachia	pistachia	23,6	12,4	25,9	3,44	2,03	4,5						
3	12	833	1	P	0	pistachia	pistachia	pistachia	18	21,6	18,2	1,83	2,3	2,76						
3	12	837	0	P	1	pistachia	pistachia	pistachia	21,4	18,7	18,9	2,5	3,92	2,25						
3	12	838	1	P	1	pistachia	pistachia	pistachia	21,5	21,2	23,2	3,9	4,16	3,57						
3	12	839	0	A	1	anthyllis	anthyllis	anthyllis	22,5	11,5	15,2	2,48	1,86	1,58						
3	12	842	1	P	1	pistachia	pistachia	pistachia	12,4	10,9	24,2	2,41	2,5	3,55						
3	12	843	0	P	0	pistachia	pistachia	pistachia	15,5	17	21	2,91	3,94	1,81						
3	12	844	1	A	1	anthyllis	anthyllis	anthyllis	20,2	15	18,3	1,72	2,21	2,15						
3	12	847	0	D	1	dorycnium	dorycnium	dorycnium	21	35	31,5	1,66	3,24	3,46						
3	12	848	1	D	0	dorycnium	dorycnium	dorycnium	31,5	28,6	33,9	3,02	2,06	2,9						
3	12	849	0	D	0	dorycnium	dorycnium	dorycnium	35,6	35,7	30,9	2	2,34	2,23						
3	12	850	1	D	1	dorycnium	dorycnium	dorycnium	31,9	40	32,8	3,41	3,07	2,8						
3	12	851	1	M	0	pistachia	dorycnium	anthyllis	13,4	35	12,5	2,14	3,04	1,8						
3	12	852	0	M	0	pistachia	anthyllis	dorycnium	15	29,1	34	2,14	1,52	3,64						
3	12	853	0	A	0	anthyllis	anthyllis	anthyllis	16,7	16,3	17	1,42	1,81	1,78						
3	12	856	0	D	0	dorycnium	dorycnium	dorycnium	35	37,8	35,8	3,53	2,98	2,55						
3	12	858	0	M	1	anthyllis	pistachia	dorycnium	15,6	29,5	29,7	1,94	3,38	3,22						
3	12	859	1	M	1	dorycnium	pistachia	anthyllis	30,2	24,7	29,8	2,84	3,52	2,68						
3	12	860	1	A	0	anthyllis	anthyllis	anthyllis	26	18,8	11,7	2,58	1,55	1,28						
3	12	861	0	D	1	dorycnium	dorycnium	dorycnium	16,5	15	26,6	2,7	1,12	1,6						
3	12	862	1	D	0	dorycnium	dorycnium	dorycnium	16	14,7	26,6	1,96	1,29	3,59						
3	12	864	0	D	0	dorycnium	dorycnium	dorycnium	23,3	21,4	30,3	2,05	3,13	3,14						
3	12	865	1	A	0	anthyllis	anthyllis	anthyllis	26,5	4,2	25	1,85	0,88	1,94						
3	12	866	1	D	0	dorycnium	dorycnium	dorycnium	33	37,5	31	2,57	2,4	2,69						
3	12	867	0	M	1	anthyllis	pistachia	dorycnium	22	27,2	28,7	1,15	3,05	2,94						
3	12	868	1	M	0	dorycnium	pistachia	anthyllis	37	21,1	23,5	2,74	2,55	2,56						
3	12	869	0	P	1	pistachia	pistachia	pistachia	19,8	12,2	23,5	2,14	1,19	4,32						
3	12	870	0	A	1	anthyllis	anthyllis	anthyllis	19,2	31,9	20,5	2,16	2,62	2,27						
3	12	874	1	P	1	pistachia	pistachia	pistachia	17,2	23,4	25,9	2,94	5,06	4,8						
3	12	875	0	P	0	pistachia	pistachia	pistachia	26	22,4	8,2	3,73	2,7	1,18						
3	12	876	1	P	0	pistachia	pistachia	pistachia	23	23	22,6	3,49	3,2	3,67						
3	12	877	0	P	1	pistachia	pistachia	pistachia	21,8	30,8	31,8	3,12	3,24	4,75						
4	13	360	1	A	1	anthyllis	anthyllis	anthyllis	18,6	18,2	14,2	2,98	1,9	2,02						
4	13	361	0	A	1	anthyllis	anthyllis	anthyllis	12,7	10,4	8,6	1,76	2,57	1,3						
4	13	362	0	A	0	anthyllis	anthyllis	anthyllis	23	28,7	18,2	1,64	2,09	1,8						
4	13	363	1	P	0	pistachia	pistachia	pistachia	20,2	30,1	31,2	2,76	4,61	4,74	0,721	1,098	0,738	0,597	0,914	0,615
4	13	962	0	P	1	pistachia	pistachia	pistachia	18,8	18,2	19,9	4,22	2,11	3,3			0,059			
4	13	365	0	P	1	pistachia	pistachia	pistachia	34,2	31,4	27,4	2,92	3,15	3,02						
4	13	366	1	D	0	dorycnium	dorycnium	dorycnium	30,8	32,7	27	2,52	3,6	3,14						
4	13	367	0	D	1	dorycnium	dorycnium	dorycnium	25,6	24	27,6	2,83	2,87	2,52						
4	13	368	1	D	0	dorycnium	dorycnium	dorycnium	36,6	32	30,8	3	2,87	2,37	0,06	0,072				
4	13	369	1	A	0	anthyllis	anthyllis	anthyllis	35,5	18	19	2,5	3,03	4,22		0,143	0,134		0,128	0,13
4	13	370	1	A	0	anthyllis	anthyllis	anthyllis	29,2	8,5	25,4	4,52	0,92	1,85						
4	13	371	0	A	1	anthyllis	anthyllis	anthyllis	18,4	32	26	2,65	2,35	2,52						
4	13	372	0	A	1	anthyllis	anthyllis	anthyllis	36	32,3	22,5	2,46	2,4	1,53	0,207	0,166	0,266	0,198	0,159	0,252
4	13	373	1	M	1	anthyllis	pistachia	dorycnium	33	29	38	2,31	3,84	2,48		1,337			1,085	
4	13	374	1	P	1	pistachia	pistachia	pistachia	38	23,1	23,8	3,73	4,8	4,78	1,084	0,644	0,536	0,939	0,544	0,449
4	13	375	1	M	0	anthyllis	dorycnium	pistachia	22,6	29	29,2	1,61	2,79	4,88						
4	13	376	0	M	1	anthyllis	pistachia	dorycnium	14	21,6	20	1,78	3,33	2,84			0,042			
4	13	378	0	M	0	pistachia	dorycnium	anthyllis	31,5	27,3	20,9	4,11	2,71	1,65	1,175	0,07	0,157	0,979		0,147
4	13	383	0	P	1	pistachia	pistachia	pistachia	19,6	20,6	36,7	2,7	4,42	3,95	0,867	1,518	1,588	0,747	1,289	1,337
4	13	386	1	M	1	dorycnium	anthyllis	pistachia	30,4	19,5	24,1	3,11	1,91	3,42	0,058		0,858			0,721
4	13	384	1	P	1	pistachia	pistachia	pistachia	12,2	16,3	14,3	3,58	3,3	2,5						
4	13	388	0	M	1	anthyllis	pistachia	dorycnium	26,6	27	28	2,55	4,34	2,43						
4	13	998	1	M	1	pistachia	dorycnium	anthyllis	27,4	32	22,2	4,34	3,75	2,69						
4	13	390	1	D	0	dorycnium	dorycnium	dorycnium	32,2	31	27	4,55	4,4	3,56						
4	13	391	0	D	1	dorycnium	dorycnium	dorycnium	26,1	24,5	23,5	2,39	2,75	2,75	0,072	0,044	0,072			
4	13	392	0	A	0	anthyllis	anthyllis	anthyllis	17	16,5	27,5	1,44	1,57	2,18		0,091	0,094		0,082	0,083
4	13	393	1	A	1	anthyllis	anthyllis	anthyllis	17,1	14,5	11,5	1,73	1,05	0,85						
4	13	394	1	P	1	pistachia	pistachia	pistachia	26,1	25,4	23,5	3,31	2,86	2,83						
4	13	395	0	P	1	pistachia	pistachia	pistachia	24	24,9	25,8	2,82	3,9	4,2	0,904			0,795		
4	13	398	0	P	1	pistachia	pistachia	pistachia	24	24,5	28,4	4,7	3,74	4,04						
4	13	399	0	D	1	dorycnium	dorycnium	dorycnium	27,6	27,5	27	2,35	2,6	4,08						
4	13	400	1	D	1	dorycnium	dorycnium	dorycnium	30,5	28,5	21,5	3,08	2,22	2,53						
4	13	960	0	D	1	dorycnium	dorycnium	dorycnium	31,2	26,5	24,7	2,02	2,14	4,03	0,081	0,073	0,052			
4	13	961	1	P	1	pistachia	pistachia	pistachia	27,4	28,1	24,3	3,08	4,39	3,88						
4	13	963	1	M	0	dorycnium	pistachia	anthyllis	25,9	23,4	38,8	2,69	4,26	2,85						
4	13	967	0	P	0	pistachia	pistachia	pistachia	16	16,5	14,1	3,37	3,06	2,9	0,4	0,498	0,386	0,284	0,414	0,332
4	13	968	1	P	0	pistachia	pistachia	pistachia	29,5	30,3	33,4	3,81	5,7	5,06						
4	13	969	0	M	0	pistachia	anthyllis	dorycnium	24,3	44,3	28,4	4,74	2,75	2,82						
4	13	970	0	P	1	pistachia	pistachia	pistachia	20,3	19,4	25	2,77	3,84	3,67						
4	13	971	1	M	0	anthyllis	pistachia	dorycnium	47,1	27,4	31,5	3,14	5,06	3,45		0,624	0,054		0,481	
4	13	972	0	M	1	anthyllis	pistachia	dorycnium	17,3	20,1	24,9	2,45	3,23	1,99						
4	13	975	1	A	1	anthyllis	anthyllis	anthyllis	26,2	15,2	33	2,29	1,07	2	0,098		0,143	0,095		0,137
4	13	976	0	A	1	anthyllis	anthyllis	anthyllis	29,5	35,5	30,5	2,69	2,21	2,76	0,152	0,201	0,212	0,142	0,185	0,199
4	13	977	0	D	1	dorycnium	dorycnium	dorycnium	28	18,6	21,2	3,65	3,79	4,53						
4	13	978	1	M	0	dorycnium	anthyllis	pistachia	32,3	24,5	20	2,74	1,57	2,35	0,062	0,142	0,478		0,14	0,391
4	13	979	0	M	1	anthyllis	pistachia	dorycnium	26,5	25,7	24,6	3,72	4,12	2,72	0,3	1,486		0,29	1,298	
4	13	980	0	M	0	anthyllis	pistachia	dorycnium	15,2	13	17,4	2,42	1,75	1,33	0,164			0,149		
4	13	981	1	A	0	anthyllis	anthyllis	anthyllis	18,4	22,9	20,3	2,17	2,19	2,96		0,092	0,171		0,083	0,159
4	13	982	0	A	1	anthyllis	anthyllis	anthyllis	20,4	20,2	27,8	1,79	1,42	3,81						
4	13	983	0	M	1	dorycnium	anthyllis	pistachia	26,7	33	20	1,89	2,44	2,6						
4	13	984	1	M	1	pistachia	dorycnium	anthyllis	23,9	28	26,9	3,6	2,78	1,95	0,9	0,068	0,23	0,79		0,219
4	13	985	1	D	0	dorycnium	dorycnium	dorycnium	30,4	27,3	26,5	4,69	2,74	2,07						
4	13	986	1	A	1	anthyllis	anthyllis	anthyllis	20,2	21,6	22,3	2,64	1,22	1,69		0,171			0,158	
4	13	987	0	A	1	anthyllis	anthyllis	anthyllis	22	28,6	22,4	1,56	1,85	2,58						
4	13	988	0	A	0	anthyllis	anthyllis	anthyllis	16,7	31,5	25	2,77	2,29	2,94						
4	13	990	1	A	0	anthyllis	anthyllis	anthyllis	40,8	18,5	30,5	2,35	2,87	2,21						
4	13	991	1	D	1	dorycnium	dorycnium	dorycnium	32,5	38,7	23	1,83	3,27	2,54	0,057	0,057	0,032			
4	13	993	0	D	0	dorycnium	dorycnium	dorycnium	9,5	27,5	30,3	1,68	2,94	2,2		0,039				
4	13	994	1	D	1	dorycnium	dorycnium	dorycnium	28,7	27,8	26,5	2,71	2,67	2,54			0,044			
4	13	995	1	P	0	pistachia	pistachia	pistachia	29	26,8	26,6	3,64	4,68	3,9						
4	13	996	0	D	0	dorycnium	dorycnium	dorycnium	30,5	22,7	24,8	2,39	2,27	3,12						
4	13	997	1	D	0	dorycnium	dorycnium	dorycnium	22,5	18,7	27	1,68	1,83	2,33						
4	14	281	0	A	1	anthyllis	anthyllis	anthyllis	13,4	20,3	14,4	2,34	2,57	2,52						
4	14	282	1	A	0	anthyllis	anthyllis	anthyllis	32,2	17	27,5	2,24	2,22	1,56						
4	14	284	0	A	1	anthyllis	anthyllis	anthyllis	23,5	28,4	37	2,66	2,22	3,07						
4	14	285	1	A	1	anthyllis	anthyllis	anthyllis	19,5	23,1	19,2	2,26	1,87	1,88						
4	14	288	0	M	0	pistachia	anthyllis	dorycnium	24	20,5	27	4,22	4,04	2,39						
4	14	289	1	M	1	pistachia	anthyllis	dorycnium	28,1	19	27,7	4,29	2,43	3,55						
4	14	291	0	M	1	anthyllis	dorycnium	pistachia	19,4	19,3	25,3	2,26	3,57	4,66						
4	14	292	1	M	0	anthyllis	pistachia	dorycnium	26,5	28,7	26,5	2,15	3,81	2,2						
4	14	293	0	D	1	dorycnium	dorycnium	dorycnium	26	24,2	26,2	3,3	3,05	1,83						
4	14	294	1	D	0	dorycnium	dorycnium	dorycnium	30,5	30,5	31,2	3,54	4,09	3,42						
4	14	296	0	D	1	dorycnium	dorycnium	dorycnium	31,3	22,6	29	2,2	2,67	2,7						
4	14	297	1	D	1	dorycnium	dorycnium	dorycnium	28,6	28,2	27,5	2,96	3,81	2,72						
4	14	300	1	D	0	dorycnium	dorycnium	dorycnium	22	21,4	27,5	3,4	2,43	3,74						
4	14	301	0	D	0	dorycnium	dorycnium	dorycnium	27	15,5	24	3,15	2,57	3,15						
4	14	303	1	P	0	pistachia	pistachia	pistachia	21,5	28,8	29,2	3,86	3,36	4						
4	14	304	0	P	1	pistachia	pistachia	pistachia	26,2	20	13,4	4,76	2,76	4,14						
4	14	308	1	D	0	dorycnium	dorycnium	dorycnium	26,3	29,4	25	2,52	3,28	3,26						
4	14	309	0	D	0	dorycnium	dorycnium	dorycnium	26,6	23,5	23,4	3,43	3,6	2,59						
4	14	310	0	A	0	anthyllis	anthyllis	anthyllis	30,5	27,1	22,9	2,16	1,87	3,12						
