ter	plot	label	ms	com	watering	sp1	sp2	sp3	h1	h2	h3	d1	d2	d3	fresh_mass1	fresh_mass2	fresh_mass3	fresh_m_f1	fresh_m_f2	fresh_m_f3
2	5	626	1	P	1	pistachia	pistachia	pistachia	27,5	25	24,7	4,61	4,57	4,48						
2	5	627	0	P	1	pistachia	pistachia	pistachia	27,5	25,4	26,3	4,9	5,03	3,09						
2	5	628	0	D	0	dorycnium	dorycnium	dorycnium	28,3	34,6	25,5	2,69	2,9	3,53						
2	5	629	1	D	0	dorycnium	dorycnium	dorycnium	27,5	25	27,2	4,25	3,7	2,59						
2	5	630	1	D	0	dorycnium	dorycnium	dorycnium	28,4	27,4	26,8	3,33	2,01	2,27						
2	5	631	0	D	0	dorycnium	dorycnium	dorycnium	19,9	27,6	24,9	3,51	2,93	1,96						
2	5	632	1	A	1	anthyllis	anthyllis	anthyllis	22,5	18,6	10	2,01	2,66	2,5						
2	5	633	0	A	1	anthyllis	anthyllis	anthyllis	21,3	21,5	26,6	3,58	3,2	2,24						
2	5	634	0	A	0	anthyllis	anthyllis	anthyllis	12,7	19,5	21,5	1,73	2,62	3,24						
2	5	635	1	A	1	anthyllis	anthyllis	anthyllis	17,7	21,9	30,9	2,65	2,48	2,65						
2	5	636	0	D	1	dorycnium	dorycnium	dorycnium	24,6	24,4	23,6	2,48	2,17	2,56						
2	5	637	1	D	0	dorycnium	dorycnium	dorycnium	29,5	33,6	37	2,47	2,55	2,62						
2	5	638	1	P	1	pistachia	pistachia	pistachia	21	29	23,5	3,19	5,55	4,38						
2	6	482	1	D	1	dorycnium	dorycnium	dorycnium	30,1	16	31,9	2,86	2,43	1,87						
2	6	483	0	D	0	dorycnium	dorycnium	dorycnium	26,2	28,8	30,5	2,92	2,6	4,88						
2	6	484	1	M	1	pistachia	dorycnium	anthyllis	27,7	28,8	6,6	3,2	2,31	1,62						
2	6	485	1	A	0	anthyllis	anthyllis	anthyllis	19	20,4	9,1	3,52	2,45	2,27						
2	6	486	0	M	0	dorycnium	anthyllis	pistachia	30,1	19,6	28,6	2,34	2,09	4,94						
2	6	488	1	A	1	anthyllis	anthyllis	anthyllis	22,2	18,1	17,5	2,01	2,61	2,18						
2	6	489	0	A	1	anthyllis	anthyllis	anthyllis	17	27,2	20,4	2,76	3,16	2,5						
2	6	490	0	D	1	dorycnium	dorycnium	dorycnium	26,7	31,4	29	2,04	2,64	2,65						
2	6	491	1	D	0	dorycnium	dorycnium	dorycnium	26,1	23,5	25,8	2,15	1,74	1,55						
2	6	494	0	A	1	anthyllis	anthyllis	anthyllis	18,4	19,8	19,9	1,75	2,4	3,6						
2	6	495	1	A	0	anthyllis	anthyllis	anthyllis	23,2	19,5	22	2,34	2,41	2,38						
2	6	502	1	P	0	pistachia	pistachia	pistachia	26,6	17,6	22,6	3,89	2,65	2,98						
2	6	503	0	P	0	pistachia	pistachia	pistachia	33,6	24,5	13,8	3,84	3,31	2,76						
2	6	504	1	P	1	pistachia	pistachia	pistachia	26,3	26	21	3,76	4,49	3,77						
2	6	505	0	P	1	pistachia	pistachia	pistachia	21,4	28,6	25,8	3,61	3,63	5,28						
2	6	506	1	D	1	dorycnium	dorycnium	dorycnium	30,5	30,7	28,1	2,63	3,9	4,03						
2	6	507	1	D	1	dorycnium	dorycnium	dorycnium	27,7	25,4	26,8	2,77	2,45	2,73						
2	6	508	0	D	1	dorycnium	dorycnium	dorycnium	19,7	23,3	27,8	2,66	2,05	3,27						
