ter;plot;label;ms;com;watering;sp1;sp2;sp3;h1;h2;h3;d1;d2;d3;hm1;hm2;hm3
2;5;626;1;P;1;pistachia;pistachia;pistachia;27;25,6;26,6;4,02;4,49;3,65;28,8;27,5;27,2
2;5;627;0;P;1;pistachia;pistachia;pistachia;27;27;26,7;4,54;3,07;4,18;31,7;27,6;29,5
2;5;628;0;D;0;dorycnium;dorycnium;dorycnium;23,1;32,2;28,7;2,85;2,7;3,84;23,5;33,9;31,3
2;5;629;1;D;0;dorycnium;dorycnium;dorycnium;27,7;27,6;24,7;4,1;3,25;2,29;28,3;30,6;28
2;5;630;1;D;0;dorycnium;dorycnium;dorycnium;28;28,4;25,9;2,73;1,99;2,3;27,4;27,5;25,5
2;5;631;0;D;0;dorycnium;dorycnium;dorycnium;22;27,8;24,1;2,43;2,84;2,02;24,5;27,4;26,4
2;5;632;1;A;1;anthyllis;anthyllis;anthyllis;27,8;22,2;10,5;2,06;2,67;2,29;31;21,6;12,4
2;5;633;0;A;1;anthyllis;anthyllis;anthyllis;24,4;28,2;27,5;3,35;3,27;2,5;24,3;27,8;27,5
2;5;634;0;A;0;anthyllis;anthyllis;anthyllis;15;24,7;14,8;1,85;3,17;2,5;16,8;23,8;26,5
2;5;635;1;A;1;anthyllis;anthyllis;anthyllis;23;33,5;19,2;2,55;2,69;2,5;35,8;33;18,9
2;5;636;0;D;1;dorycnium;dorycnium;dorycnium;27,5;25,5;22,1;2,55;2,11;2,64;26,7;23,9;26,9
2;5;637;1;D;0;dorycnium;dorycnium;dorycnium;29,2;31,7;35,8;2,17;2,35;2,51;30,2;30;36,2
2;5;638;1;P;1;pistachia;pistachia;pistachia;19,4;30,2;23,8;2,81;4,9;3,18;19,1;30,1;27,5
2;6;482;1;D;1;dorycnium;dorycnium;dorycnium;31,3;14,7;32,8;2,97;1,63;2,7;31,5;17;33,4
2;6;483;0;D;0;dorycnium;dorycnium;dorycnium;24,5;28,2;30,7;3;3,16;4,47;28;34,5;32
2;6;484;1;M;1;pistachia;dorycnium;anthyllis;25;29,5;D;3,05;2,54;D;26,7;31,1;D
2;6;485;1;A;0;anthyllis;anthyllis;anthyllis;26,5;22,2;10;3,28;2,56;2,24;34;22,4;17
2;6;486;0;M;0;dorycnium;anthyllis;pistachia;31,4;20,3;28,5;2,35;2,32;5,14;34,8;24,7;29,8
2;6;488;1;A;1;anthyllis;anthyllis;anthyllis;19,5;23,2;16,8;2,91;2,68;2,52;19,4;23,9;19
2;6;489;0;A;1;anthyllis;anthyllis;anthyllis;18,6;27,5;24,1;3,19;2,72;3,47;18,2;28,7;23
2;6;490;0;D;1;dorycnium;dorycnium;dorycnium;25,9;30,4;29,3;2,2;2,73;2,64;28,9;34,2;29,7
2;6;491;1;D;0;dorycnium;dorycnium;dorycnium;25,4;22,7;25;2,45;1,93;2,18;26;23,5;24,7
2;6;494;0;A;1;anthyllis;anthyllis;anthyllis;18,2;20,5;21,6;2;2,33;4,21;18;20,5;21,5
2;6;495;1;A;0;anthyllis;anthyllis;anthyllis;25,9;19,8;24,3;2,79;2,77;2,58;26;21,5;31
2;6;502;1;P;0;pistachia;pistachia;pistachia;16,1;25,2;22;2,74;3,88;2,9;19,4;28,3;23
2;6;503;0;P;0;pistachia;pistachia;pistachia;33,2;24,6;13,5;4,33;4,91;2,95;36,9;30;14,2
2;6;504;1;P;1;pistachia;pistachia;pistachia;19,7;30,4;21,7;3,99;4,74;3,64;;28,6;22,5
2;6;505;0;P;1;pistachia;pistachia;pistachia;23,7;28,6;26;3,37;3,47;4,94;23,9;30;28,7
