ter,plot,label,com,sp,ind,fresh_mass,dry_mass
2,5,568,D,dorycnium,2,0.035,0.014
2,5,569,M,dorycnium,2,0.042,0.019
2,5,571,P,pistachia,2,0.703,0.379
2,5,577,P,pistachia,2,0.394,0.221
2,5,579,M,anthyllis,2,0.135,0.041
2,5,580,M,anthyllis,2,0.139,0.041
2,5,581,P,pistachia,2,0.846,0.452
2,5,582,D,dorycnium,2,0.056,0.023
2,5,583,M,anthyllis,2,0.123,0.037
2,5,585,P,pistachia,2,1.119,0.581
2,5,586,A,anthyllis,2,0.095,0.04
2,5,589,M,pistachia,2,0.45,0.251
2,5,590,P,pistachia,2,0.546,0.28
2,5,591,P,pistachia,2,0.776,0.45
2,5,592,P,pistachia,2,0.722,0.374
2,5,593,D,dorycnium,2,0.091,0.044
2,5,594,A,anthyllis,2,0.098,0.036
2,5,595,A,anthyllis,2,0.07,0.032
2,5,596,M,anthyllis,2,0.044,0.009
2,5,597,M,dorycnium,2,0.099,0.046
2,5,598,P,pistachia,2,0.349,0.226
2,5,600,A,anthyllis,2,0.179,0.055
2,5,601,P,pistachia,2,0.793,0.4
2,5,603,A,anthyllis,2,0.135,NA
2,5,607,D,dorycnium,2,0.033,0.012
2,5,612,D,dorycnium,2,0.034,0.013
3,9,887,M,anthyllis,2,0.105,0.027
3,9,888,M,pistachia,2,0.895,0.435
3,9,891,M,pistachia,2,0.879,0.494
3,9,1329,M,dorycnium,2,NA,0.02
3,9,908,A,anthyllis,2,0.133,0.039
3,9,918,A,anthyllis,2,0.235,0.065
3,9,924,P,pistachia,2,0.721,0.377
3,9,926,D,dorycnium,2,0.053,0.027
3,9,928,P,pistachia,2,0.427,0.229
3,9,930,P,pistachia,2,0.786,0.394
3,9,937,P,pistachia,2,0.617,0.391
3,9,941,A,anthyllis,2,0.075,0.024
3,9,944,P,pistachia,2,0.787,0.419
3,9,956,M,pistachia,2,0.796,0.411
3,9,957,M,pistachia,2,0.365,0.243
3,9,959,M,anthyllis,2,0.062,0.016
